feature_name,category,dtype,min,max,mean,null_count
radius_mean,mean_features,float64,6.981,28.11,14.127291739894552,0
texture_mean,mean_features,float64,9.71,39.28,19.289648506151142,0
perimeter_mean,mean_features,float64,43.79,188.5,91.96903339191564,0
area_mean,mean_features,float64,143.5,2501.0,654.8891036906855,0
smoothness_mean,mean_features,float64,0.05263,0.1634,0.0963602811950791,0
compactness_mean,mean_features,float64,0.01938,0.3454,0.10434098418277679,0
concavity_mean,mean_features,float64,0.0,0.4268,0.0887993158172232,0
concave points_mean,mean_features,float64,0.0,0.2012,0.04891914586994728,0
symmetry_mean,mean_features,float64,0.106,0.304,0.18116186291739894,0
fractal_dimension_mean,mean_features,float64,0.04996,0.09744,0.06279760984182776,0
radius_se,standard_error_features,float64,0.1115,2.873,0.40517205623901575,0
texture_se,standard_error_features,float64,0.3602,4.885,1.2168534270650264,0
perimeter_se,standard_error_features,float64,0.757,21.98,2.8660592267135327,0
area_se,standard_error_features,float64,6.802,542.2,40.337079086116,0
smoothness_se,standard_error_features,float64,0.001713,0.03113,0.007040978910369069,0
compactness_se,standard_error_features,float64,0.002252,0.1354,0.025478138840070295,0
concavity_se,standard_error_features,float64,0.0,0.396,0.03189371634446397,0
concave points_se,standard_error_features,float64,0.0,0.05279,0.011796137082601054,0
symmetry_se,standard_error_features,float64,0.007882,0.07895,0.02054229876977153,0
fractal_dimension_se,standard_error_features,float64,0.0008948,0.02984,0.0037949038664323374,0
radius_worst,worst_features,float64,7.93,36.04,16.269189806678387,0
texture_worst,worst_features,float64,12.02,49.54,25.677223198594024,0
perimeter_worst,worst_features,float64,50.41,251.2,107.26121265377857,0
area_worst,worst_features,float64,185.2,4254.0,880.5831282952548,0
smoothness_worst,worst_features,float64,0.07117,0.2226,0.13236859402460457,0
compactness_worst,worst_features,float64,0.02729,1.058,0.25426504393673116,0
concavity_worst,worst_features,float64,0.0,1.252,0.27218848330404216,0
concave points_worst,worst_features,float64,0.0,0.291,0.11460622319859401,0
symmetry_worst,worst_features,float64,0.1565,0.6638,0.2900755711775044,0
fractal_dimension_worst,worst_features,float64,0.05504,0.2075,0.0839458172231986,0
Unnamed: 32,unknown,float64,,,,569
